,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
21,21,21,21,21,21,21,21,21,75855,43.000,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0
22,22,22,22,22,22,22,22,22,106181,55.000,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0
23,23,23,23,23,23,23,23,23,44304,25.000,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0
24,24,24,24,24,24,24,24,24,82602,30.000,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0.0
25,25,25,25,25,25,25,25,25,7823,62.000,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0.0
26,26,26,26,26,26,26,26,26,127781,24.000,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0.0
27,27,27,27,27,27,27,27,27,34501,22.000,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13.0
28,28,28,28,28,28,28,28,28,121658,44.000,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0.0
29,29,29,29,29,29,29,29,29,20219,51.000,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0.0
30,30,30,30,30,30,30,30,30,67551,43.000,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0.0
31,31,31,31,31,31,31,31,31,48994,56.000,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0.0
32,32,32,32,32,32,32,32,32,70811,41.000,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0.0
33,33,33,33,33,33,33,33,33,75241,22.000,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68.0
34,34,34,34,34,34,34,34,34,12312,53.000,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1.0
35,35,35,35,35,35,35,35,35,48372,12.000,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70.0
36,36,36,36,36,36,36,36,36,51477,39.000,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12.0
37,37,37,37,37,37,37,37,37,84204,55.000,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68.0
38,38,38,38,38,38,38,38,38,70990,32.000,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10.0
39,39,39,39,39,39,39,39,39,101991,40.000,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0.0
40,40,40,40,40,40,40,40,40,87447,42.000,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0.0
41,41,41,41,41,41,41,41,41,16112,24.000,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4.0
42,42,42,42,42,42,42,42,42,16172,22.000,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177.0
43,43,43,43,43,43,43,43,43,106558,28.000,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3.0
44,44,44,44,44,44,44,44,44,11536,36.000,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55.0
45,45,45,45,45,45,45,45,45,47773,62.000,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90.0
46,46,46,46,46,46,46,46,46,70521,60.000,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0.0
47,47,47,47,47,47,47,47,47,96283,59.000,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2.0
48,48,48,48,48,48,48,48,48,117993,49.000,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4.0
49,49,49,49,49,49,49,49,49,74703,44.000,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0.0
50,50,50,50,50,50,50,50,50,110840,58.000,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0.0
51,51,51,51,51,51,51,51,51,88249,24.000,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32.0
52,52,52,52,52,52,52,52,52,125877,53.000,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0.0
53,53,53,53,53,53,53,53,53,83968,56.000,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0.0
54,54,54,54,54,54,54,54,54,122719,30.000,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0.0
55,55,55,55,55,55,55,55,55,3949,27.000,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46.0
56,56,56,56,56,56,56,56,56,45542,27.000,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0.0
57,57,57,57,57,57,57,57,57,43742,67.000,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0.0
58,58,58,58,58,58,58,58,58,122093,32.000,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4.0
59,59,59,59,59,59,59,59,59,121454,36.000,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0.0
60,60,60,60,60,60,60,60,60,738,44.000,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57.0
61,61,61,61,61,61,61,61,61,75235,70.000,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0.0
62,62,62,62,62,62,62,62,62,88653,55.000,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3.0
63,63,63,63,63,63,63,63,63,26594,66.000,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6.0
64,64,64,64,64,64,64,64,64,38339,19.000,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0.0
65,65,65,65,65,65,65,65,65,46063,53.000,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0.0
66,66,66,66,66,66,66,66,66,27957,22.000,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0.0
67,67,67,67,67,67,67,67,67,17270,69.000,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0.0
68,68,68,68,68,68,68,68,68,87976,42.000,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47.0
69,69,69,69,69,69,69,69,69,31640,41.000,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40.0
70,70,70,70,70,70,70,70,70,41461,53.000,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0.0
71,71,71,71,71,71,71,71,71,15143,35.000,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0.0
72,72,72,72,72,72,72,72,72,78136,54.000,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0.0
73,73,73,73,73,73,73,73,73,120433,44.000,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24.0
74,74,74,74,74,74,74,74,74,41440,26.000,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0.0
75,75,75,75,75,75,75,75,75,15963,44.000,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0.0
76,76,76,76,76,76,76,76,76,64303,24.000,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27.0
77,77,77,77,77,77,77,77,77,3608,54.000,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0.0
78,78,78,78,78,78,78,78,78,7744,42.000,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0.0
79,79,79,79,79,79,79,79,79,21276,36.000,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0.0
80,80,80,80,80,80,80,80,80,58576,61.000,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20.0
81,81,81,81,81,81,81,81,81,53888,50.000,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0.0
82,82,82,82,82,82,82,82,82,10980,27.000,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52.0
83,83,83,83,83,83,83,83,83,54151,55.000,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0.0
84,84,84,84,84,84,84,84,84,115641,21.000,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0.0
85,85,85,85,85,85,85,85,85,58584,31.000,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0.0
86,86,86,86,86,86,86,86,86,50472,37.000,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20.0
87,87,87,87,87,87,87,87,87,102623,50.000,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0.0
88,88,88,88,88,88,88,88,88,31533,21.000,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17.0
89,89,89,89,89,89,89,89,89,42287,53.000,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0.0
90,90,90,90,90,90,90,90,90,70467,45.000,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11.0
91,91,91,91,91,91,91,91,91,20461,42.000,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34.0
92,92,92,92,92,92,92,92,92,113346,59.000,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0
93,93,93,93,93,93,93,93,93,115566,54.000,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95.0
94,94,94,94,94,94,94,94,94,119896,46.000,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0.0
95,95,95,95,95,95,95,95,95,88853,52.000,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0.0
96,96,96,96,96,96,96,96,96,24895,38.000,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0.0
97,97,97,97,97,97,97,97,97,31122,35.000,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0.0
98,98,98,98,98,98,98,98,98,91231,41.000,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0.0
99,99,99,99,99,99,99,99,99,61426,40.000,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0.0
100,100,100,100,100,100,100,100,100,68873,36.000,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0.0
101,101,101,101,101,101,101,101,101,125701,67.000,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0.0
102,102,102,102,102,102,102,102,102,94999,38.000,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0.0
103,103,103,103,103,103,103,103,103,56694,50.000,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0.0
104,104,104,104,104,104,104,104,104,62010,50.000,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0.0
105,105,105,105,105,105,105,105,105,95868,54.000,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66.0
106,106,106,106,106,106,106,106,106,123064,56.000,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113.0
107,107,107,107,107,107,107,107,107,103418,38.000,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2.0
108,108,108,108,108,108,108,108,108,73456,7.000,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13.0
109,109,109,109,109,109,109,109,109,8851,32.000,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0.0
110,110,110,110,110,110,110,110,110,64241,45.000,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7.0
111,111,111,111,111,111,111,111,111,81723,25.000,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24.0
112,112,112,112,112,112,112,112,112,88237,45.000,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0.0
113,113,113,113,113,113,113,113,113,50619,34.000,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0.0
114,114,114,114,114,114,114,114,114,54444,20.000,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2.0
115,115,115,115,115,115,115,115,115,64765,36.000,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6.0
116,116,116,116,116,116,116,116,116,15941,36.000,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0.0
117,117,117,117,117,117,117,117,117,14965,27.000,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0.0
118,118,118,118,118,118,118,118,118,36897,40.000,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0.0
119,119,119,119,119,119,119,119,119,127954,31.000,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4.0
120,120,120,120,120,120,120,120,120,27872,25.000,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0.0
121,121,121,121,121,121,121,121,121,35854,42.000,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0.0
122,122,122,122,122,122,122,122,122,14527,45.000,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40.0
123,123,123,123,123,123,123,123,123,47021,59.000,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11.0
124,124,124,124,124,124,124,124,124,11224,34.000,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8.0
125,125,125,125,125,125,125,125,125,3921,22.000,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17.0
126,126,126,126,126,126,126,126,126,69463,21.000,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0.0
127,127,127,127,127,127,127,127,127,47050,26.000,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10.0
128,128,128,128,128,128,128,128,128,21970,37.000,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86.0
129,129,129,129,129,129,129,129,129,30046,38.000,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0.0
130,130,130,130,130,130,130,130,130,1256,17.000,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0.0
131,131,131,131,131,131,131,131,131,73813,15.000,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8.0
132,132,132,132,132,132,132,132,132,110928,53.000,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0.0
133,133,133,133,133,133,133,133,133,102981,39.000,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88.0
134,134,134,134,134,134,134,134,134,61571,40.000,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0
135,135,135,135,135,135,135,135,135,3796,28.000,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46.0
136,136,136,136,136,136,136,136,136,73906,27.000,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0.0
137,137,137,137,137,137,137,137,137,74090,41.000,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0.0
138,138,138,138,138,138,138,138,138,76645,7.000,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0.0
139,139,139,139,139,139,139,139,139,100462,48.000,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1.0
140,140,140,140,140,140,140,140,140,54164,13.000,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0.0
141,141,141,141,141,141,141,141,141,6147,48.000,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0.0
142,142,142,142,142,142,142,142,142,1262,49.000,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3.0
143,143,143,143,143,143,143,143,143,20310,26.000,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0.0
144,144,144,144,144,144,144,144,144,46896,22.000,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0.0
145,145,145,145,145,145,145,145,145,7237,53.000,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178.0
146,146,146,146,146,146,146,146,146,44293,43.000,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0.0
147,147,147,147,147,147,147,147,147,52496,56.000,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0.0
148,148,148,148,148,148,148,148,148,68263,69.000,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0.0
149,149,149,149,149,149,149,149,149,5289,59.000,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0.0
150,150,150,150,150,150,150,150,150,109359,56.000,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0.0
151,151,151,151,151,151,151,151,151,94988,11.000,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0.0
152,152,152,152,152,152,152,152,152,53605,25.000,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78.0
153,153,153,153,153,153,153,153,153,11005,29.000,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0.0
154,154,154,154,154,154,154,154,154,14794,48.000,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0.0
155,155,155,155,155,155,155,155,155,49480,42.000,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0.0
156,156,156,156,156,156,156,156,156,120440,15.000,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0.0
157,157,157,157,157,157,157,157,157,55823,49.000,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0.0
158,158,158,158,158,158,158,158,158,107792,41.000,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18.0
159,159,159,159,159,159,159,159,159,80531,43.000,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0.0
160,160,160,160,160,160,160,160,160,128145,60.000,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0.0
161,161,161,161,161,161,161,161,161,63370,42.000,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0.0
162,162,162,162,162,162,162,162,162,12452,8.000,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0.0
163,163,163,163,163,163,163,163,163,16145,42.000,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72.0
164,164,164,164,164,164,164,164,164,44418,18.000,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41.0
165,165,165,165,165,165,165,165,165,95746,47.000,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0.0
166,166,166,166,166,166,166,166,166,41134,27.000,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12.0
167,167,167,167,167,167,167,167,167,3214,67.000,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91.0
168,168,168,168,168,168,168,168,168,74101,38.000,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0.0
169,169,169,169,169,169,169,169,169,106220,20.000,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0.0
170,170,170,170,170,170,170,170,170,88134,60.000,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0.0
171,171,171,171,171,171,171,171,171,64475,23.000,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1.0
172,172,172,172,172,172,172,172,172,123812,25.000,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0.0
173,173,173,173,173,173,173,173,173,88893,38.000,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0.0
174,174,174,174,174,174,174,174,174,31244,40.000,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4.0
175,175,175,175,175,175,175,175,175,97762,19.000,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0.0
176,176,176,176,176,176,176,176,176,59851,61.000,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0.0
177,177,177,177,177,177,177,177,177,25137,44.000,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6.0
178,178,178,178,178,178,178,178,178,18412,22.000,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35.0
179,179,179,179,179,179,179,179,179,87192,8.000,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0.0
180,180,180,180,180,180,180,180,180,127062,45.000,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16.0
181,181,181,181,181,181,181,181,181,112169,46.000,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25.0
182,182,182,182,182,182,182,182,182,127798,54.000,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77.0
183,183,183,183,183,183,183,183,183,91778,62.000,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0.0
184,184,184,184,184,184,184,184,184,42609,25.000,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0.0
185,185,185,185,185,185,185,185,185,67482,32.000,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0.0
186,186,186,186,186,186,186,186,186,91108,65.000,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3.0
187,187,187,187,187,187,187,187,187,102318,40.000,223,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0.0
188,188,188,188,188,188,188,188,188,51281,30.000,326,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0.0
189,189,189,189,189,189,189,189,189,6528,67.000,599,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0.0
190,190,190,190,190,190,190,190,190,121232,51.000,2075,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0.0
191,191,191,191,191,191,191,191,191,72478,47.000,964,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3.0
192,192,192,192,192,192,192,192,192,122788,38.000,599,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0.0
193,193,193,193,193,193,193,193,193,5528,54.000,3138,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0.0
194,194,194,194,194,194,194,194,194,107726,57.000,251,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4.0
195,195,195,195,195,195,195,195,195,72606,13.000,1119,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0.0
196,196,196,196,196,196,196,196,196,75522,20.000,337,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0.0
197,197,197,197,197,197,197,197,197,125687,45.000,759,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94.0
198,198,198,198,198,198,198,198,198,79908,51.000,2344,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0.0
199,199,199,199,199,199,199,199,199,117345,25.000,296,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0.0
200,200,200,200,200,200,200,200,200,73465,39.000,1005,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163.0
201,201,201,201,201,201,201,201,201,95851,46.000,580,3,3,3,3,3,5,4,4,4,4,4,3,4,5,18,16.0
202,202,202,202,202,202,202,202,202,44992,53.000,359,1,3,3,3,1,1,1,1,1,2,3,4,4,1,0,0.0
203,203,203,203,203,203,203,203,203,70631,61.000,1217,0,4,0,1,5,5,5,4,4,0,4,4,4,4,0,0.0
204,204,204,204,204,204,204,204,204,13761,61.000,384,4,5,5,5,3,3,2,4,4,4,4,3,4,5,96,102.0
205,205,205,205,205,205,205,205,205,74968,16.000,2586,3,5,3,4,4,3,4,4,5,2,4,5,4,4,45,42.0
206,206,206,206,206,206,206,206,206,12371,44.000,2903,2,1,1,1,2,3,3,2,2,2,2,3,2,1,0,1.0
207,207,207,207,207,207,207,207,207,8378,17.000,3170,5,5,5,5,5,5,5,5,1,3,3,1,5,5,16,0.0
208,208,208,208,208,208,208,208,208,82080,50.000,1276,2,2,2,2,4,2,3,2,2,2,2,1,2,1,35,49.0
209,209,209,209,209,209,209,209,209,107972,40.000,825,4,4,4,3,5,4,5,5,5,3,4,3,5,5,0,4.0
210,210,210,210,210,210,210,210,210,101228,47.000,2204,5,5,5,5,4,4,4,2,2,2,2,4,2,3,6,0.0
211,211,211,211,211,211,211,211,211,85577,80.000,3464,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0.0
212,212,212,212,212,212,212,212,212,2717,38.000,562,5,3,5,3,4,5,4,4,1,1,3,4,3,4,0,0.0
213,213,213,213,213,213,213,213,213,88529,31.000,404,5,1,5,3,3,5,3,3,4,2,4,4,4,3,0,0.0
214,214,214,214,214,214,214,214,214,91613,59.000,1199,4,2,2,2,5,4,4,4,4,4,4,3,4,1,0,15.0
215,215,215,215,215,215,215,215,215,88865,22.000,1968,4,4,4,4,4,4,4,4,1,2,3,4,4,4,0,0.0
216,216,216,216,216,216,216,216,216,96960,53.000,2560,5,5,5,5,5,4,5,3,3,3,3,3,3,3,0,3.0
217,217,217,217,217,217,217,217,217,51191,56.000,308,4,2,2,2,5,3,4,4,4,4,4,5,4,2,0,0.0
218,218,218,218,218,218,218,218,218,9461,48.000,362,4,4,5,3,2,4,5,3,3,5,3,5,3,4,0,0.0
219,219,219,219,219,219,219,219,219,66384,38.000,1562,3,3,3,5,2,3,2,2,5,2,5,3,4,2,2,25.0
